"ID","together","age","years","divorced"
635,"no",17,1,TRUE
636,"yes",25,15,TRUE
637,"yes",31,6,TRUE
638,"yes",23,8,FALSE
639,"yes",32,7,FALSE
640,"yes",30,14,FALSE
641,"yes",16,13,FALSE
642,"yes",26,5,FALSE
643,"no",16,22,FALSE
644,"yes",30,9,FALSE
645,"yes",24,19,FALSE
646,"yes",29,2,FALSE
647,"no",37,5,FALSE
648,"yes",22,5,TRUE
649,"yes",22,10,FALSE
650,"no",16,3,TRUE
651,"yes",27,8,TRUE
652,"yes",34,10,FALSE
653,"yes",18,8,FALSE
654,"no",20,14,FALSE
655,"yes",19,11,TRUE
656,"no",23,18,FALSE
657,"no",18,1,TRUE
658,"no",26,5,FALSE
659,"no",18,2,TRUE
660,"yes",16,2,TRUE
661,"yes",22,21,FALSE
662,"yes",22,6,FALSE
663,"yes",20,8,TRUE
664,"no",27,8,FALSE
665,"yes",20,7,FALSE
666,"yes",22,7,FALSE
667,"yes",27,11,FALSE
668,"yes",22,5,TRUE
669,"yes",23,3,FALSE
670,"yes",28,2,FALSE
671,"no",34,7,FALSE
672,"yes",20,19,TRUE
673,"yes",28,4,FALSE
674,"yes",22,4,TRUE
675,"yes",31,4,TRUE
676,"yes",19,4,FALSE
677,"yes",29,5,TRUE
678,"yes",24,2,FALSE
679,"no",19,11,TRUE
680,"yes",20,13,FALSE
681,"no",15,25,FALSE
682,"no",19,23,FALSE
683,"yes",17,15,FALSE
684,"yes",42,2,FALSE
685,"no",17,7,TRUE
686,"yes",21,2,FALSE
687,"yes",34,2,FALSE
688,"yes",25,14,FALSE
689,"yes",29,3,FALSE
690,"no",20,1,TRUE
691,"yes",26,4,FALSE
692,"yes",17,21,FALSE
693,"yes",34,7,FALSE
694,"yes",24,11,FALSE
695,"yes",32,7,FALSE
696,"yes",18,12,TRUE
697,"yes",22,3,TRUE
698,"yes",22,2,TRUE
699,"no",19,18,TRUE
701,"yes",20,7,FALSE
702,"no",19,6,TRUE
703,"yes",18,16,FALSE
704,"yes",27,6,TRUE
705,"no",25,3,FALSE
706,"yes",19,6,TRUE
707,"no",17,8,TRUE
708,"yes",19,1,TRUE
709,"yes",19,4,FALSE
710,"yes",26,8,TRUE
711,"yes",25,8,FALSE
712,"no",21,8,TRUE
713,"yes",17,3,TRUE
714,"yes",23,6,TRUE
715,"no",28,7,TRUE
716,"no",20,2,TRUE
717,"yes",21,6,FALSE
718,"yes",18,15,TRUE
719,"yes",21,5,FALSE
720,"no",21,14,FALSE
721,"yes",20,12,TRUE
722,"yes",21,9,TRUE
723,"yes",18,10,FALSE
724,"no",18,8,TRUE
725,"no",17,16,TRUE
726,"yes",26,2,FALSE
727,"yes",15,18,FALSE
728,"yes",20,15,FALSE
729,"yes",17,14,TRUE
730,"yes",30,3,FALSE
731,"no",17,7,TRUE
732,"yes",17,6,TRUE
733,"no",17,12,FALSE
734,"no",20,16,TRUE
735,"no",27,2,TRUE
736,"no",23,4,TRUE
737,"yes",16,2,TRUE
738,"no",19,10,TRUE
739,"no",18,8,TRUE
740,"yes",18,19,FALSE
741,"yes",15,16,FALSE
742,"no",16,18,TRUE
743,"yes",21,19,FALSE
744,"no",27,6,FALSE
745,"yes",23,8,TRUE
746,"yes",19,4,TRUE
747,"yes",35,4,FALSE
748,"yes",25,6,TRUE
749,"no",22,14,FALSE
750,"no",17,1,TRUE
751,"yes",18,2,FALSE
752,"yes",30,1,FALSE
753,"yes",28,5,FALSE
754,"yes",32,10,FALSE
755,"yes",18,10,TRUE
756,"yes",19,8,TRUE
757,"yes",28,12,TRUE
758,"yes",33,4,FALSE
759,"yes",18,2,TRUE
760,"yes",16,5,FALSE
761,"no",17,6,TRUE
762,"yes",33,6,FALSE
763,"yes",18,10,FALSE
764,"no",19,7,TRUE
765,"yes",23,3,FALSE
766,"no",18,7,TRUE
767,"yes",27,6,TRUE
768,"yes",41,3,FALSE
769,"yes",24,5,FALSE
770,"yes",26,11,TRUE
